id,name,companyId,companyName
01bc61c6-3ec1-40b7-9323-74f9412d4127,Free Class Soda 250ml,c7,Manakamana
03b65a3a-398d-4f0f-8f2b-8a2be814e21e,Free Lichee Drink 250ml,c7,Manakamana
03bd6070-6503-43e6-9ed5-52fc38578203,H&s Fab Choco 112gm (1x60) Mrp 65,c2,Parle
05e1a53e-4b7a-4580-b808-9d0ca79a44df,NO. 1 SOAP 43GM (ROSEWATER & ALMOND)  - NPR 20 (1*216),c3,Godrej
